n_particles,n_iterations,w,c1,c2,mean_fitness,std_fitness,all_fitnesses
50,50,0.7,1.5,1.0,0.9187499999999998,1.1102230246251565e-16,"[0.91875, 0.91875, 0.91875]"
50,50,0.7,1.5,1.5,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
50,50,0.7,1.5,2.0,0.9449838187702265,0.0,"[0.9449838187702265, 0.9449838187702265, 0.9449838187702265]"
50,50,0.7,2.0,1.0,0.932475884244373,0.0,"[0.932475884244373, 0.932475884244373, 0.932475884244373]"
50,50,0.7,2.0,1.5,0.9511400651465798,0.0,"[0.9511400651465798, 0.9511400651465798, 0.9511400651465798]"
50,50,0.7,2.0,2.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,50,0.9,1.0,1.0,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
50,50,0.9,1.0,1.5,0.9187499999999998,1.1102230246251565e-16,"[0.91875, 0.91875, 0.91875]"
50,50,0.9,1.0,2.0,0.9225806451612902,1.1102230246251565e-16,"[0.9225806451612903, 0.9225806451612903, 0.9225806451612903]"
50,50,0.9,1.5,1.0,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
50,50,0.9,1.5,1.5,0.9329073482428115,0.0,"[0.9329073482428115, 0.9329073482428115, 0.9329073482428115]"
50,50,0.9,1.5,2.0,0.9636963696369637,0.0,"[0.9636963696369637, 0.9636963696369637, 0.9636963696369637]"
50,50,0.9,2.0,1.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,50,0.9,2.0,1.5,0.9423076923076922,1.1102230246251565e-16,"[0.9423076923076923, 0.9423076923076923, 0.9423076923076923]"
50,50,0.9,2.0,2.0,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
50,100,0.5,1.0,1.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,100,0.5,1.0,1.5,0.9130434782608695,0.0,"[0.9130434782608695, 0.9130434782608695, 0.9130434782608695]"
50,100,0.5,1.0,2.0,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814, 0.9274447949526814]"
50,100,0.5,1.5,1.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,100,0.5,1.5,1.5,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
50,100,0.5,1.5,2.0,0.9483870967741935,0.0,"[0.9483870967741935, 0.9483870967741935, 0.9483870967741935]"
50,100,0.5,2.0,1.0,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
50,100,0.5,2.0,1.5,0.9828178694158075,0.0,"[0.9828178694158075, 0.9828178694158075, 0.9828178694158075]"
50,100,0.5,2.0,2.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,100,0.7,1.0,1.0,0.9389067524115756,0.0,"[0.9389067524115756, 0.9389067524115756, 0.9389067524115756]"
50,100,0.7,1.0,1.5,0.9607843137254902,0.0,"[0.9607843137254902, 0.9607843137254902, 0.9607843137254902]"
50,100,0.7,1.0,2.0,0.929936305732484,1.1102230246251565e-16,"[0.9299363057324841, 0.9299363057324841, 0.9299363057324841]"
50,100,0.7,1.5,1.0,0.9187499999999998,1.1102230246251565e-16,"[0.91875, 0.91875, 0.91875]"
50,100,0.7,1.5,1.5,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
50,100,0.7,1.5,2.0,0.9449838187702265,0.0,"[0.9449838187702265, 0.9449838187702265, 0.9449838187702265]"
50,100,0.7,2.0,1.0,0.932475884244373,0.0,"[0.932475884244373, 0.932475884244373, 0.932475884244373]"
50,100,0.7,2.0,1.5,0.9511400651465798,0.0,"[0.9511400651465798, 0.9511400651465798, 0.9511400651465798]"
50,100,0.7,2.0,2.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,100,0.9,1.0,1.0,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
50,100,0.9,1.0,1.5,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
50,100,0.9,1.0,2.0,0.9225806451612902,1.1102230246251565e-16,"[0.9225806451612903, 0.9225806451612903, 0.9225806451612903]"
50,100,0.9,1.5,1.0,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
50,100,0.9,1.5,1.5,0.9329073482428115,0.0,"[0.9329073482428115, 0.9329073482428115, 0.9329073482428115]"
50,100,0.9,1.5,2.0,0.9668874172185431,0.0,"[0.9668874172185431, 0.9668874172185431, 0.9668874172185431]"
50,100,0.9,2.0,1.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,100,0.9,2.0,1.5,0.9423076923076922,1.1102230246251565e-16,"[0.9423076923076923, 0.9423076923076923, 0.9423076923076923]"
50,100,0.9,2.0,2.0,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
100,30,0.5,1.0,1.0,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814, 0.9274447949526814]"
100,30,0.5,1.0,1.5,0.9483870967741935,0.0,"[0.9483870967741935, 0.9483870967741935, 0.9483870967741935]"
100,30,0.5,1.0,2.0,0.9573770491803278,0.0,"[0.9573770491803278, 0.9573770491803278, 0.9573770491803278]"
100,30,0.5,1.5,1.0,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814, 0.9274447949526814]"
100,30,0.5,1.5,1.5,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
100,30,0.5,1.5,2.0,0.948051948051948,0.0,"[0.948051948051948, 0.948051948051948, 0.948051948051948]"
100,30,0.5,2.0,1.0,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
100,30,0.5,2.0,1.5,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
100,30,0.5,2.0,2.0,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,30,0.7,1.0,1.0,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
100,30,0.7,1.0,1.5,0.9358974358974358,1.1102230246251565e-16,"[0.9358974358974359, 0.9358974358974359, 0.9358974358974359]"
100,30,0.7,1.0,2.0,0.948051948051948,0.0,"[0.948051948051948, 0.948051948051948, 0.948051948051948]"
100,30,0.7,1.5,1.0,0.9419354838709677,0.0,"[0.9419354838709677, 0.9419354838709677, 0.9419354838709677]"
100,30,0.7,1.5,1.5,0.9216300940438872,0.0,"[0.9216300940438872, 0.9216300940438872, 0.9216300940438872]"
100,30,0.7,1.5,2.0,0.9358974358974358,1.1102230246251565e-16,"[0.9358974358974359, 0.9358974358974359, 0.9358974358974359]"
100,30,0.7,2.0,1.0,0.935064935064935,0.0,"[0.935064935064935, 0.935064935064935, 0.935064935064935]"
100,30,0.7,2.0,1.5,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,30,0.7,2.0,2.0,0.9501661129568107,1.1102230246251565e-16,"[0.9501661129568106, 0.9501661129568106, 0.9501661129568106]"
100,30,0.9,1.0,1.0,0.948051948051948,0.0,"[0.948051948051948, 0.948051948051948, 0.948051948051948]"
100,30,0.9,1.0,1.5,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,30,0.9,1.0,2.0,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,30,0.9,1.5,1.0,0.9423076923076922,1.1102230246251565e-16,"[0.9423076923076923, 0.9423076923076923, 0.9423076923076923]"
100,30,0.9,1.5,1.5,0.9539473684210527,0.0,"[0.9539473684210527, 0.9539473684210527, 0.9539473684210527]"
100,30,0.9,1.5,2.0,0.935064935064935,0.0,"[0.935064935064935, 0.935064935064935, 0.935064935064935]"
100,30,0.9,2.0,1.0,0.9419354838709677,0.0,"[0.9419354838709677, 0.9419354838709677, 0.9419354838709677]"
100,30,0.9,2.0,1.5,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
100,30,0.9,2.0,2.0,0.9511400651465798,0.0,"[0.9511400651465798, 0.9511400651465798, 0.9511400651465798]"
100,50,0.5,1.0,1.0,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814, 0.9274447949526814]"
100,50,0.5,1.0,1.5,0.9483870967741935,0.0,"[0.9483870967741935, 0.9483870967741935, 0.9483870967741935]"
100,50,0.5,1.0,2.0,0.9636963696369637,0.0,"[0.9636963696369637, 0.9636963696369637, 0.9636963696369637]"
100,50,0.5,1.5,1.0,0.930379746835443,0.0,"[0.930379746835443, 0.930379746835443, 0.930379746835443]"
100,50,0.5,1.5,1.5,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
100,50,0.5,1.5,2.0,0.948051948051948,0.0,"[0.948051948051948, 0.948051948051948, 0.948051948051948]"
100,50,0.5,2.0,1.0,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814, 0.9274447949526814]"
100,50,0.5,2.0,1.5,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
100,50,0.5,2.0,2.0,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,50,0.7,1.0,1.0,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
100,50,0.7,1.0,1.5,0.9358974358974358,1.1102230246251565e-16,"[0.9358974358974359, 0.9358974358974359, 0.9358974358974359]"
100,50,0.7,1.0,2.0,0.954248366013072,0.0,"[0.954248366013072, 0.954248366013072, 0.954248366013072]"
100,50,0.7,1.5,1.0,0.9419354838709677,0.0,"[0.9419354838709677, 0.9419354838709677, 0.9419354838709677]"
100,50,0.7,1.5,1.5,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
100,50,0.7,1.5,2.0,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
100,50,0.7,2.0,1.0,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
100,50,0.7,2.0,1.5,0.9607843137254902,0.0,"[0.9607843137254902, 0.9607843137254902, 0.9607843137254902]"
100,50,0.7,2.0,2.0,0.9539473684210527,0.0,"[0.9539473684210527, 0.9539473684210527, 0.9539473684210527]"
100,50,0.9,1.0,1.0,0.9627118644067797,0.0,"[0.9627118644067797, 0.9627118644067797, 0.9627118644067797]"
100,50,0.9,1.0,1.5,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,50,0.9,1.0,2.0,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,50,0.9,1.5,1.0,0.9483870967741935,0.0,"[0.9483870967741935, 0.9483870967741935, 0.9483870967741935]"
100,50,0.9,1.5,1.5,0.9607843137254902,0.0,"[0.9607843137254902, 0.9607843137254902, 0.9607843137254902]"
100,50,0.9,1.5,2.0,0.9483870967741935,0.0,"[0.9483870967741935, 0.9483870967741935, 0.9483870967741935]"
100,50,0.9,2.0,1.0,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
100,50,0.9,2.0,1.5,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
100,50,0.9,2.0,2.0,0.9607843137254902,0.0,"[0.9607843137254902, 0.9607843137254902, 0.9607843137254902]"
100,100,0.5,1.0,1.0,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814, 0.9274447949526814]"
100,100,0.5,1.0,1.5,0.9483870967741935,0.0,"[0.9483870967741935, 0.9483870967741935, 0.9483870967741935]"
100,100,0.5,1.0,2.0,0.9636963696369637,0.0,"[0.9636963696369637, 0.9636963696369637, 0.9636963696369637]"
100,100,0.5,1.5,1.0,0.9423076923076922,1.1102230246251565e-16,"[0.9423076923076923, 0.9423076923076923, 0.9423076923076923]"
100,100,0.5,1.5,1.5,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,100,0.5,1.5,2.0,0.948051948051948,0.0,"[0.948051948051948, 0.948051948051948, 0.948051948051948]"
100,100,0.5,2.0,1.0,0.930379746835443,0.0,"[0.930379746835443, 0.930379746835443, 0.930379746835443]"
100,100,0.5,2.0,1.5,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
100,100,0.5,2.0,2.0,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,100,0.7,1.0,1.0,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
100,100,0.7,1.0,1.5,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
100,100,0.7,1.0,2.0,0.9573770491803278,0.0,"[0.9573770491803278, 0.9573770491803278, 0.9573770491803278]"
100,100,0.7,1.5,1.0,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
100,100,0.7,1.5,1.5,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
100,100,0.7,1.5,2.0,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
100,100,0.7,2.0,1.0,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
100,100,0.7,2.0,1.5,0.9702970297029703,0.0,"[0.9702970297029703, 0.9702970297029703, 0.9702970297029703]"
100,100,0.7,2.0,2.0,0.9634551495016611,0.0,"[0.9634551495016611, 0.9634551495016611, 0.9634551495016611]"
100,100,0.9,1.0,1.0,0.9735099337748344,0.0,"[0.9735099337748344, 0.9735099337748344, 0.9735099337748344]"
100,100,0.9,1.0,1.5,0.939297124600639,0.0,"[0.939297124600639, 0.939297124600639, 0.939297124600639]"
100,100,0.9,1.0,2.0,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,100,0.9,1.5,1.0,0.9514563106796117,0.0,"[0.9514563106796117, 0.9514563106796117, 0.9514563106796117]"
100,100,0.9,1.5,1.5,0.9607843137254902,0.0,"[0.9607843137254902, 0.9607843137254902, 0.9607843137254902]"
100,100,0.9,1.5,2.0,0.9545454545454546,0.0,"[0.9545454545454546, 0.9545454545454546, 0.9545454545454546]"
100,100,0.9,2.0,1.0,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
100,100,0.9,2.0,1.5,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
100,100,0.9,2.0,2.0,0.9607843137254902,0.0,"[0.9607843137254902, 0.9607843137254902, 0.9607843137254902]"
